ke,len_inLAr
0.000106793,0.000258894
0.00131494,0.0159535
0.00269048,0.0360844
0.00278644,0.0595777
0.00295526,0.0681244
0.00308532,0.0732572
0.00309535,0.0746293
0.00337219,0.0877165
0.00387119,0.107319
0.0039109,0.112039
0.00420449,0.121186
0.00549757,0.2047
0.00642941,0.262532
0.00733887,0.324752
0.00768758,0.370664
0.00789889,0.401615
0.00888939,0.46539
0.0098475,0.566552
0.0106321,0.626185
0.0107404,0.694403
0.0114277,0.733408
0.0120846,0.845595
0.0126031,0.881616
0.0129063,0.953072
0.0130395,0.955785
0.0130805,0.964575
0.0140997,1.05169
0.0141135,1.08698
0.0141209,1.08943
0.0145044,1.14729
0.0150664,1.22932
0.015531,1.25641
0.0158401,1.25787
0.0158688,1.29589
0.0162463,1.35707
0.0173247,1.55971
0.0175895,1.55981
0.0180925,1.56067
0.0181158,1.6405
0.0186713,1.77857
0.0192772,1.80834
0.0196411,1.84162
0.0199347,2.04662
0.0204116,2.06307
0.0209767,2.15243
0.0221137,2.31852
0.0226755,2.44378
0.0230974,2.50216
0.023539,2.65091
0.0240273,2.7334
0.024217,2.75819
0.0255733,2.9675
0.0256854,2.98908
0.0263383,3.18869
0.0263999,3.2827
0.0270788,3.33197
0.0274643,3.52519
0.0282475,3.80396
0.0283037,3.80591
0.0291422,3.81421
0.0294175,3.84648
0.0299143,3.89927
0.0303275,3.92077
0.030537,4.04442
0.0311757,4.23939
0.0318749,4.37471
0.0319599,4.47821
0.0320278,4.50917
0.0329451,4.64188
0.0334316,4.84624
0.0356266,5.1505
0.0359815,5.1658
0.0360081,5.47186
0.036503,5.58734
0.0373518,5.88035
0.0378215,6.08302
0.0397429,6.09913
0.0400597,6.5272
0.0402794,6.64139
0.0411484,6.96108
0.0429961,7.05052
0.0434632,7.13957
0.0436015,7.51218
0.0438399,7.74153
0.0444409,7.79531
0.045298,8.10278
0.0469907,8.43348
0.0470533,8.68631
0.0480823,8.89366
0.0484374,8.89964
0.0502033,9.31536
0.0508002,9.34681
0.0511467,9.46977
0.0514911,9.56449
0.052437,10.1548
0.0543039,10.6893
0.0557625,10.822
0.0563659,11.2319
0.0573952,11.7223
0.0583016,12.0275
0.0590877,12.1762
0.0612638,12.8698
0.0614988,12.879
0.0622975,13.4802
0.0639509,13.5769
0.064597,14.1912
0.0664903,14.5774
0.0670605,14.7461
0.0680514,14.7872
0.0687242,14.8901
0.068806,15.5311
0.070914,15.5953
0.0715006,16.3229
0.0718388,16.5572
0.0733023,16.9766
0.0748302,17.1332
0.0752041,17.1364
0.075759,17.8565
0.0774557,17.8712
0.0780402,18.0279
0.0789469,18.6927
0.0791464,18.7986
0.079372,19.0437
0.0795064,19.0563
0.0801484,19.8841
0.0815769,20.1067
0.081843,20.4784
0.0844773,20.8014
0.0848118,23.5615
0.0880078,25.2591
0.0940663,25.8767
0.0969568,26.2133
0.0981425,29.2541
0.104712,29.4063
0.105215,29.5065
0.10772,29.8333
0.108852,30.8213
0.110155,31.3011
0.110698,31.3874
0.113133,31.4917
0.114497,31.5337
0.116551,33.896
0.118524,34.242
0.11911,34.5631
0.120407,34.8855
0.120567,35.6223
0.12442,36.8708
0.125413,38.5347
0.125453,47.6226
