ke,len_inLAr
0.000119587,0.000220654
0.0001565,0.000281877
0.000160509,0.000370253
0.000221285,0.000453484
0.00028702,0.000717004
0.000298766,0.000765463
0.000399653,0.00100587
0.000571526,0.0013602
0.00060761,0.00149167
0.000670792,0.0017203
0.000672222,0.00178828
0.000681024,0.00190973
0.000687782,0.00200141
0.000738211,0.00211261
0.000748324,0.00229469
0.00076125,0.00237135
0.000837853,0.00238286
0.000868588,0.00251363
0.000879653,0.00255874
0.000887264,0.00270704
0.000936354,0.00299074
0.000946915,0.00310735
0.000961313,0.00332673
0.00099334,0.00350534
0.00101955,0.00357708
0.0011086,0.00379411
0.00118197,0.00399654
0.00119884,0.00408334
0.00124913,0.00461576
0.00126741,0.00498685
0.00142619,0.00533678
0.00144897,0.00546675
0.00145866,0.00553307
0.00148489,0.00567978
0.00148602,0.00568476
0.00152001,0.00588718
0.00154223,0.0060248
0.00155302,0.00608958
0.00161063,0.00644865
0.00165141,0.00670281
0.00167571,0.0069879
0.0017054,0.00705172
0.00174734,0.00782543
0.00182565,0.00795214
0.00184144,0.00795879
0.00184992,0.00801664
0.00185731,0.00817223
0.00187978,0.00822097
0.00188638,0.00855658
0.00195228,0.00897913
0.00197173,0.00919893
0.00202148,0.00923137
0.00204584,0.00946689
0.00207939,0.00965649
0.00211864,0.0100915
0.00215838,0.0102472
0.00217462,0.0103875
0.00219745,0.0105247
0.00221055,0.0106176
0.00221388,0.0106435
0.00223377,0.0110038
0.00227632,0.011067
0.00231606,0.0115661
0.00234632,0.0118156
0.00234686,0.0120269
0.00239152,0.0121187
0.0024119,0.0124533
0.00243954,0.0125219
0.0024407,0.0126306
0.00245806,0.0130389
0.00252609,0.0135106
0.00257039,0.013599
0.00257145,0.0138022
0.00259954,0.0141929
0.00262863,0.0142917
0.00263486,0.0144083
0.0026462,0.0144681
0.00268754,0.0147289
0.00275216,0.0155664
0.0028062,0.0160874
0.0028329,0.0161175
0.00283412,0.0166987
0.00291038,0.01698
0.00291599,0.0170214
0.00294392,0.0172144
0.00295541,0.0173611
0.00301083,0.0180986
0.00303226,0.018297
0.00310628,0.0186572
0.00311757,0.0189832
0.00311909,0.0190691
0.00314287,0.0191309
0.00317657,0.0195901
0.00321302,0.0211281
0.00335423,0.0211738
0.00337384,0.0216434
0.00339547,0.0220491
0.00343179,0.0223218
0.00347484,0.022342
0.00348518,0.0225595
0.00351803,0.0233591
0.00358216,0.0236768
0.0036209,0.0242782
0.00364961,0.0245299
0.0036683,0.024616
0.00366838,0.0249749
0.00369953,0.0254491
0.00371393,0.0254943
0.00376341,0.0261358
0.00379999,0.0269583
0.00381217,0.0269592
0.00384043,0.0269629
0.00390602,0.0270804
0.00411046,0.0300681
0.00413536,0.030298
0.00414651,0.0303053
0.00417042,0.0306025
0.00418101,0.030756
0.00421925,0.0307933
0.00423297,0.0310671
0.00431317,0.0323303
0.0043538,0.0327394
0.00436417,0.0328198
0.0043801,0.0330078
0.00440348,0.0331289
0.0044255,0.0332718
0.004447,0.0344911
0.00447812,0.034635
0.00456332,0.0350944
0.00456555,0.0353146
0.00466148,0.0368936
0.00467854,0.0374489
0.00471112,0.0379677
0.00482185,0.0389958
0.00483928,0.0392334
0.00486174,0.0397603
0.00488182,0.0397921
0.00489203,0.0398024
0.00489278,0.0398396
0.00490222,0.0401868
0.00493465,0.0405424
0.00493526,0.0407123
0.00495305,0.0408212
0.00496541,0.0408573
0.00499044,0.0419667
0.00501577,0.0421337
0.00503061,0.0422678
0.00506735,0.0424305
0.00509301,0.0428518
0.00516055,0.0433738
0.00519795,0.0437822
0.00521383,0.0444188
0.00528948,0.046185
0.00530986,0.0467294
0.0053478,0.046778
0.00538882,0.04734
0.00542001,0.0477521
0.00549447,0.0480322
0.00551418,0.0480723
0.00553728,0.0489593
0.00554478,0.0490334
0.00555,0.0501498
0.0055668,0.0503229
0.00561644,0.050655
0.00562392,0.0507951
0.00565337,0.0519127
0.00573463,0.0519534
0.0057563,0.0531707
0.00582646,0.0538254
0.00586684,0.0538268
0.00586811,0.0543842
0.00591219,0.0552534
0.00599156,0.0559834
0.00599671,0.0560239
0.00601217,0.0571263
0.00605693,0.0574935
0.00610249,0.059439
0.00618206,0.0606398
0.00626205,0.0610998
0.00626996,0.061426
0.00634263,0.0637774
0.00643031,0.0643966
0.00645283,0.0644671
0.00653586,0.0645964
0.00661283,0.0661209
0.00662733,0.066379
0.00671121,0.0679983
0.00672255,0.0693131
0.00677961,0.0706979
0.00679775,0.071019
0.00688703,0.0720596
0.00695482,0.0740478
0.0070859,0.075397
0.00714352,0.0762207
0.00721689,0.0788584
0.00725996,0.079427
0.00731357,0.0804441
0.00742826,0.0817065
0.00749078,0.0828936
0.00755177,0.0835724
0.0076283,0.0838301
0.00763343,0.085229
0.00765845,0.0867314
0.00768518,0.0867486
0.00779808,0.0871117
0.00782498,0.0889283
0.00784411,0.0890647
0.00784649,0.089296
0.00799589,0.0897643
0.00804623,0.0943694
0.00808026,0.0943919
0.00820523,0.0964222
0.00825419,0.0985261
0.00830565,0.100271
0.00833217,0.100885
0.00842421,0.104346
0.00856845,0.104542
0.00875961,0.10684
0.00883182,0.113448
0.00904545,0.114764
0.00911725,0.115576
0.00919203,0.118714
0.00927609,0.119492
0.00934974,0.120437
0.00937557,0.121005
0.00941304,0.12179
0.00941915,0.123724
0.009485,0.123891
0.00951002,0.125318
0.00956377,0.125972
0.00959148,0.126097
0.00964071,0.127513
0.00971703,0.129648
0.00973075,0.130232
0.00974752,0.132406
0.00983951,0.134924
0.00990207,0.135676
0.0100583,0.136274
0.0100663,0.136555
0.0100941,0.136583
0.0101087,0.136893
0.0101256,0.137148
0.0101308,0.141496
0.0102312,0.141655
0.0102814,0.14219
0.0103784,0.144239
0.0103919,0.144278
0.0104037,0.144433
0.0104325,0.144856
0.0104768,0.146937
0.010491,0.147581
0.0104985,0.148403
0.0105557,0.149603
0.0105935,0.151361
0.0106874,0.152125
0.010702,0.152956
0.0107593,0.153534
0.0107671,0.153584
0.0107736,0.155607
0.010922,0.157587
0.0109237,0.157989
0.0109544,0.159988
0.0110251,0.16091
0.0110797,0.162647
0.0111305,0.163024
0.0112339,0.166016
0.0112973,0.168994
0.0113493,0.169645
